Name of Covered Entity,State,Covered Entity Type,Individuals Affected,Breach Submission Date,Type of Breach,Location of Breached Information,Business Associate Present
"Manchester Ophthalmology, LLC",CT,Healthcare Provider,6846,1/24/2020,Hacking/IT Incident,Network Server,No
"REVA, INC. ",FL,Healthcare Provider,1000,1/22/2020,Hacking/IT Incident,Email,No
UnitedHealth Group Health Plan Single Affiliated Covered Entity,MN,Health Plan,934,1/22/2020,Unauthorized Access/Disclosure,Paper/Films,Yes
NeurAbilities Healthcare,NJ,Healthcare Provider,11747,1/21/2020,Hacking/IT Incident,Email,No
"Solara Medical Supplies, LLC",CA,Healthcare Provider,1531,1/17/2020,Unauthorized Access/Disclosure,Paper/Films,No
Fondren Orthopedic Group L.L.P.,TX,Healthcare Provider,30049,1/17/2020,Hacking/IT Incident,Network Server,No
Roper St. Francis Healthcare,SC,Healthcare Provider,1634,1/17/2020,Improper Disposal,Paper/Films,No
Phoenix Children’s Hospital,AZ,Healthcare Provider,1860,1/14/2020,Hacking/IT Incident,Email,No
Children's Hope Alliance,NC,Healthcare Provider,4564,1/14/2020,Hacking/IT Incident,Email,No
PIH Health,CA,Healthcare Provider,199548,1/10/2020,Hacking/IT Incident,Email,No
Spectrum Healthcare Partners,ME,Healthcare Provider,11308,1/10/2020,Hacking/IT Incident,Email,No
"InterMed, PA",ME,Healthcare Provider,33000,1/8/2020,Hacking/IT Incident,Email,No
"CAH Holdings, Inc. ",AL,Business Associate,1158,1/6/2020,Hacking/IT Incident,Email,Yes
"RCM Enterprise Services, Inc.",FL,Business Associate,5965,1/6/2020,Unauthorized Access/Disclosure,Paper/Films,Yes
"Native American Rehabilitation Association of the Northwest, Inc.",OR,Healthcare Provider,25187,1/3/2020,Hacking/IT Incident,Email,No
Douglas County Hospital dba Alomere Health,MN,Healthcare Provider,49859,1/3/2020,Hacking/IT Incident,Email,No
Lawrenceville Internal Medicine Associates,NJ,Healthcare Provider,8031,1/2/2020,Unauthorized Access/Disclosure,Email,No
"SEES Group, LLC",TN,Healthcare Provider,13000,12/31/2019,Hacking/IT Incident,Email,No
"Life Line Screening of America, Ltd.",TX,Healthcare Provider,2802,12/30/2019,Hacking/IT Incident,Network Server,Yes
"The Center for Facial Restoration, Inc.",FL,Healthcare Provider,3600,12/26/2019,Hacking/IT Incident,Network Server,No
Ann & Robert H. Lurie Children's Hospital of Chicago,IL,Healthcare Provider,4195,12/26/2019,Unauthorized Access/Disclosure,Electronic Medical Record,No
btyDENTAL,AK,Healthcare Provider,2008,12/26/2019,Hacking/IT Incident,"Desktop Computer, Electronic Medical Record, Email, Network Server",No
"Baylor Miraca Genetics Laboratories, LLC d/b/a Baylor Genetics",TX,Business Associate,1240,12/24/2019,Hacking/IT Incident,Email,Yes
"PediHealth, PLLC, dba Children's Choice Pediatrics",TX,Healthcare Provider,12689,12/20/2019,Hacking/IT Incident,Network Server,No
Roosevelt General Hospital,NM,Healthcare Provider,28847,12/19/2019,Hacking/IT Incident,Network Server,No
"Texas Family Psychology Associates, P.C.",TX,Healthcare Provider,12000,12/17/2019,Unauthorized Access/Disclosure,Electronic Medical Record,No
San Francisco Department of Public Health - Zuckerberg SF General Hospital,CA,Healthcare Provider,1174,12/16/2019,Improper Disposal,Paper/Films,No
AFLAC,GA,Health Plan,1601,12/16/2019,Unauthorized Access/Disclosure,Network Server,No
Texas Children's Hospital,TX,Healthcare Provider,597,12/16/2019,Unauthorized Access/Disclosure,Paper/Films,No
North Ottawa Community Health System,MI,Healthcare Provider,4013,12/16/2019,Unauthorized Access/Disclosure,Electronic Medical Record,No
"INTEGRIS Health, Inc.",OK,Healthcare Provider,1245218,12/16/2019,Loss,Other Portable Electronic Device,No
Colorado Department of Human Services,CO,Healthcare Provider,12230,12/16/2019,Unauthorized Access/Disclosure,Other,No
Western Health Advantage,CA,Health Plan,869,12/13/2019,Unauthorized Access/Disclosure,Network Server,Yes
"Vimly Benefit Solutions, Inc.",WA,Business Associate,2675,12/13/2019,Hacking/IT Incident,Email,Yes
Sinai Health System,IL,Healthcare Provider,12578,12/13/2019,Hacking/IT Incident,Email,No
Prestige Health Choice,FL,Health Plan,4665,12/13/2019,Unauthorized Access/Disclosure,Other Portable Electronic Device,No
Therapeutic Oasis of the Palm Beaches LLC,FL,Healthcare Provider,1100,12/13/2019,Theft,Desktop Computer,No
"Marion Eye Center, LTD.",IL,Healthcare Provider,811,12/13/2019,Loss,Paper/Films,No
Aetna affiliated covered entity (ACE),CT,Health Plan,5991,12/13/2019,Hacking/IT Incident,Email,Yes
Service Benefit Plan Administrative Services Corporation,DC,Business Associate,11536,12/12/2019,Unauthorized Access/Disclosure,Network Server,Yes
Jewish Social Services Agency,MD,Healthcare Provider,3145,12/12/2019,Hacking/IT Incident,Email,No
Cheyenne Regional Medical Center,WY,Healthcare Provider,17549,12/10/2019,Hacking/IT Incident,Email,No
Starmount Life Insurance Company,LA,Health Plan,630,12/9/2019,Hacking/IT Incident,Email,No
Anwan Wellness LLC,GA,Healthcare Provider,530,12/9/2019,Unauthorized Access/Disclosure,Electronic Medical Record,No
"Family Care Medical Specialists Group, Inc.",CA,Healthcare Provider,2490,12/8/2019,Unauthorized Access/Disclosure,Paper/Films,No
Adventist Health Simi Valley,CA,Healthcare Provider,62000,12/6/2019,Hacking/IT Incident,Email,No
Children’s Hope Alliance,NC,Healthcare Provider,1002,12/6/2019,Theft,Laptop,No
Beech Brook,OH,Healthcare Provider,2636,12/6/2019,Hacking/IT Incident,Email,No
"Speight Family Medical, LLC",TN,Healthcare Provider,2000,12/6/2019,Hacking/IT Incident,Network Server,No
"Equinox, Inc.",NY,Healthcare Provider,1021,12/6/2019,Hacking/IT Incident,Email,No
"Truman Medical Center, Incorporated",MO,Healthcare Provider,114466,12/5/2019,Theft,Laptop,No
Conway Medical Center,SC,Healthcare Provider,2550,12/5/2019,Hacking/IT Incident,"Electronic Medical Record, Email",No
Sunrise Community Health,CO,Healthcare Provider,18404,12/5/2019,Hacking/IT Incident,Email,No
Children's Hope Alliance,NC,Business Associate,4564,12/3/2019,Hacking/IT Incident,Email,Yes
Walgreen Co.,IL,Healthcare Provider,3700,12/3/2019,Hacking/IT Incident,"Electronic Medical Record, Other",No
Healthcare Administrative Partners,PA,Business Associate,17693,12/3/2019,Hacking/IT Incident,Email,Yes
"Sunshine Behavioral Health Group, LLC",CA,Business Associate,3638,12/2/2019,Unauthorized Access/Disclosure,Network Server,Yes
RiverKids Pediatric Home Health,TX,Healthcare Provider,10000,12/2/2019,Hacking/IT Incident,Email,No
Katherine Shaw Bethea Hospital ,IL,Healthcare Provider,3983,11/30/2019,Hacking/IT Incident,Email,No
San Francisco VA Health Care System,CA,Healthcare Provider,735,11/29/2019,Theft,"Other, Paper/Films",No
Beer Industry - Local Union No. 703 Health and Welfare Fund,IL,Health Plan,9279,11/28/2019,Unauthorized Access/Disclosure,Email,No
"Loudoun Medical Group d/b/a Comprehensive Sleep Care Center (""CSCC"")",VA,Healthcare Provider,15575,11/27/2019,Hacking/IT Incident,Email,No
Nebraska Medicine,NE,Healthcare Provider,1149,11/27/2019,Unauthorized Access/Disclosure,Electronic Medical Record,No
"Ivy Rehab Network, Inc. and its affiliated companies",NY,Healthcare Provider,125000,11/26/2019,Hacking/IT Incident,Email,No
"Illinois Gastroenterology Group, LLC",IL,Healthcare Provider,1481,11/25/2019,Hacking/IT Incident,Email,No
Penn-Mar Human Services,MD,Healthcare Provider,536,11/25/2019,Hacking/IT Incident,Email,No
Upper Peninsula Health Plan,MI,Health Plan,812,11/25/2019,Hacking/IT Incident,Email,Yes
"La Clinica de La Raza, Inc.",CA,Healthcare Provider,2477,11/22/2019,Theft,Other Portable Electronic Device,No
Elizabeth Family Health ,CO,Healthcare Provider,28375,11/22/2019,Theft,Paper/Films,No
"GeneDx, Inc. ",NJ,Healthcare Provider,851,11/22/2019,Hacking/IT Incident,Network Server,Yes
Southeastern Minnesota Oral & Maxillofacial Surgery,MN,Healthcare Provider,80000,11/22/2019,Hacking/IT Incident,Network Server,No
"OmniSeq, Inc.",NY,Healthcare Provider,3977,11/21/2019,Hacking/IT Incident,Email,No
"Ronald E. Rosenbaum DMD, PA",FL,Healthcare Provider,1522,11/21/2019,Hacking/IT Incident,Paper/Films,No
VA St. Louis Health Care System,MO,Healthcare Provider,595,11/21/2019,Unauthorized Access/Disclosure,Paper/Films,No
Saint Francis Medical Center,MO,Healthcare Provider,107054,11/20/2019,Hacking/IT Incident,"Electronic Medical Record, Network Server",No
"Human Services, Inc.",PA,Healthcare Provider,1559,11/18/2019,Hacking/IT Incident,Email,No
"Medical Park Family Care, Inc.",AK,Healthcare Provider,500,11/18/2019,Unauthorized Access/Disclosure,Electronic Medical Record,Yes
Choice Cancer Care,TX,Healthcare Provider,14673,11/15/2019,Hacking/IT Incident,Email,No
Ascension Borgess Hospital ,MI,Healthcare Provider,996,11/14/2019,Unauthorized Access/Disclosure,Email,No
Gateway Health Plan LP,PA,Health Plan,753,11/14/2019,Hacking/IT Incident,Email,Yes
"Solara Medical Supplies, LLC",CA,Healthcare Provider,114007,11/13/2019,Hacking/IT Incident,Email,No
Select Health Network,IN,Business Associate,3582,11/13/2019,Hacking/IT Incident,Email,Yes
SALIH M MAYALIDAG DENTAL CORP,CA,Healthcare Provider,6000,11/12/2019,Hacking/IT Incident,Network Server,No
University of North Carolina at Chapel Hill School of Medicine,NC,Healthcare Provider,3716,11/12/2019,Hacking/IT Incident,Email,No
"Starling Physicians, P.C.",CT,Healthcare Provider,977,11/11/2019,Hacking/IT Incident,Email,No
"Arizona Dental Insurance Services, Inc. d.b.a. Delta Dental of Arizona",AZ,Health Plan,24769,11/8/2019,Hacking/IT Incident,Email,No
Main Street Clinical Associates,NC,Healthcare Provider,3031,11/8/2019,Unauthorized Access/Disclosure,"Laptop, Other Portable Electronic Device, Paper/Films",No
Outreach Health Services,TX,Healthcare Provider,60414,11/8/2019,Hacking/IT Incident,Email,No
Kaiser Foundation Health Plan (Kaiser Permanente),CA,Health Plan,515,11/7/2019,Unauthorized Access/Disclosure,Paper/Films,No
Aegis Medical Group,FL,Healthcare Provider,9800,11/7/2019,Unauthorized Access/Disclosure,"Electronic Medical Record, Laptop, Network Server, Paper/Films",No
The Brooklyn Hospital Center,NY,Healthcare Provider,26312,11/1/2019,Hacking/IT Incident,Network Server,No
Washington University School of Medicine,MO,Healthcare Provider,3237,11/1/2019,Unauthorized Access/Disclosure,"Email, Laptop",No
Evergreen Psychological Services,TX,Healthcare Provider,4174,11/1/2019,Theft,Desktop Computer,No
Utah Valley Eye Center,UT,Healthcare Provider,20418,11/1/2019,Hacking/IT Incident,Desktop Computer,No
Prisma Health - Midlands,SC,Healthcare Provider,19060,10/28/2019,Hacking/IT Incident,Other,No
The Guidance Center ,CA,Healthcare Provider,1189,10/28/2019,Hacking/IT Incident,Email,No
Children's Minnesota,MN,Healthcare Provider,37942,10/25/2019,Unauthorized Access/Disclosure,Network Server,No
Delta Dental of Illinois,IL,Health Plan,15466,10/25/2019,Hacking/IT Incident,Email,No
 Virginia Department of Behavioral Health & Developmental Services,VA,Healthcare Provider,1442,10/25/2019,Unauthorized Access/Disclosure,Network Server,No
Betty Jean Kerr People's Health Centers,MO,Healthcare Provider,152000,10/25/2019,Hacking/IT Incident,Network Server,No
"The Kroger Co., for itself and its affiliates and subsidiaries",OH,Healthcare Provider,4812,10/25/2019,Loss,Paper/Films,Yes
"The Kroger Co., for itself and its affiliates and subsidiaries",OH,Healthcare Provider,2752,10/25/2019,Loss,Paper/Films,No
Corpus Christi Tots & Teens Pediatrics,TX,Healthcare Provider,31787,10/24/2019,Hacking/IT Incident,Network Server,No
The Affiliated Sante Group,MD,Healthcare Provider,679,10/24/2019,Theft,Laptop,No
Wheatland Dental Care,IL,Business Associate,955,10/24/2019,Hacking/IT Incident,Other,Yes
"Greater Cincinnati Pathologists, Inc.",OH,Healthcare Provider,7725,10/23/2019,Hacking/IT Incident,Email,No
Kalispell Regional Healthcare,MT,Healthcare Provider,149661,10/22/2019,Hacking/IT Incident,Email,No
Texas Health Harris Methodist Hospital Hurst-Euless-Bedford,TX,Healthcare Provider,4804,10/22/2019,Unauthorized Access/Disclosure,Other,No
Texas Health Presbyterian Hospital Dallas,TX,Healthcare Provider,12415,10/22/2019,Unauthorized Access/Disclosure,Other,No
Texas Health Harris Methodist Hospital Alliance,TX,Healthcare Provider,3784,10/22/2019,Unauthorized Access/Disclosure,Other,No
Texas Health Presbyterian Hospital Denton,TX,Healthcare Provider,6688,10/22/2019,Unauthorized Access/Disclosure,Other,No
Texas Health Harris Methodist Hospital Azle,TX,Healthcare Provider,2113,10/22/2019,Unauthorized Access/Disclosure,Other,No
Texas Health Harris Methodist Hospital Cleburne,TX,Healthcare Provider,2737,10/22/2019,Unauthorized Access/Disclosure,Other,No
Texas Health Harris Methodist Hospital Southwest Fort Worth,TX,Healthcare Provider,7478,10/22/2019,Unauthorized Access/Disclosure,Other,No
Texas Health Presbyterian Hospital Rockwall,TX,Healthcare Provider,4789,10/22/2019,Unauthorized Access/Disclosure,Other,No
Texas Health Harris Methodist Hospital Stephenville,TX,Healthcare Provider,1348,10/22/2019,Unauthorized Access/Disclosure,Other,No
Texas Health Harris Methodist Southlake,TX,Healthcare Provider,525,10/22/2019,Unauthorized Access/Disclosure,Other,No
Texas Health Arlington Memorial,TX,Healthcare Provider,6187,10/22/2019,Unauthorized Access/Disclosure,Other,No
Texas Health Presbyterian Hospital Plano,TX,Healthcare Provider,9678,10/22/2019,Unauthorized Access/Disclosure,Other,No
 Texas Health Harris Methodist Hospital Kaufman,TX,Healthcare Provider,2157,10/22/2019,Unauthorized Access/Disclosure,Other,No
Texas Health Harris Methodist Hospital Fort Worth,TX,Healthcare Provider,14881,10/22/2019,Unauthorized Access/Disclosure,Other,No
Texas Health Presbyterian Hospital Allen,TX,Healthcare Provider,2993,10/22/2019,Unauthorized Access/Disclosure,Other,No
Self Regional Healthcare,SC,Healthcare Provider,52327,10/21/2019,Hacking/IT Incident,Email,No
"United States Medical Supply, LLC.",FL,Healthcare Provider,674,10/18/2019,Unauthorized Access/Disclosure,Email,No
Roswell Park Comprehensive Cancer Center,NY,Healthcare Provider,584,10/18/2019,Unauthorized Access/Disclosure,Electronic Medical Record,No
Chronic Care Management Inc. ,OH,Business Associate,612,10/17/2019,Unauthorized Access/Disclosure,Email,Yes
"Buckhead Smile Center, P.C.",GA,Healthcare Provider,1655,10/17/2019,Unauthorized Access/Disclosure,Email,No
Artesia General Hospital,NM,Healthcare Provider,858,10/17/2019,Hacking/IT Incident,Desktop Computer,No
Walmart Inc.,AR,Healthcare Provider,4211,10/17/2019,Loss,Other Portable Electronic Device,No
Seattle Cancer Care Alliance,WA,Healthcare Provider,944,10/16/2019,Unauthorized Access/Disclosure,Email,No
LaBorde Therapy Center LLC,LA,Healthcare Provider,7000,10/16/2019,Hacking/IT Incident,Email,No
"Hamlin & Burton Liability Management, Inc.",FL,Business Associate,1500,10/14/2019,Hacking/IT Incident,Email,Yes
Southern New Mexico Neurosurgery LLC,NM,Healthcare Provider,11754,10/14/2019,Improper Disposal,"Electronic Medical Record, Network Server",No
Monterey Health Center,OR,Healthcare Provider,5400,10/11/2019,Hacking/IT Incident,Network Server,No
Central Valley Regional Center,CA,Business Associate,15975,10/11/2019,Hacking/IT Incident,Email,Yes
"Abdul Memon, MD PLLC",AZ,Business Associate,1000,10/11/2019,Theft,Laptop,Yes
Magnolia Pediatrics,LA,Healthcare Provider,11100,10/9/2019,Hacking/IT Incident,"Desktop Computer, Electronic Medical Record, Email, Network Server",No
South Texas Dermatopathology Laboratory,TX,Healthcare Provider,15982,10/7/2019,Hacking/IT Incident,Network Server,No
Arkansas Health Group,AR,Healthcare Provider,903,10/7/2019,Unauthorized Access/Disclosure,Other,Yes
"Euphemia R. Brumskine, MD, LLC",MD,Healthcare Provider,850,10/4/2019,Hacking/IT Incident,Laptop,No
"The Methodist Hospitals, Inc.",IN,Healthcare Provider,68039,10/4/2019,Hacking/IT Incident,Email,No
Gary Smith and assoc inc DBA gary smith agency,MS,Health Plan,2000,10/4/2019,Unauthorized Access/Disclosure,Other,No
Defense Health Headquarters,VA,Health Plan,3500,10/4/2019,Unauthorized Access/Disclosure,Electronic Medical Record,No
San Francisco Department of Public Health,CA,Healthcare Provider,622,10/3/2019,Unauthorized Access/Disclosure,Paper/Films,Yes
University of Alabama at Birmingham,AL,Healthcare Provider,19557,10/3/2019,Hacking/IT Incident,Email,No
Humana Inc ,KY,Health Plan,756,10/2/2019,Unauthorized Access/Disclosure,Email,No
Sioux Falls VA Health Care System,SD,Healthcare Provider,564,10/1/2019,Unauthorized Access/Disclosure,Paper/Films,No
Telecare Corporation,CA,Healthcare Provider,823,9/30/2019,Hacking/IT Incident,Email,No
Goshen Health ,IN,Healthcare Provider,9160,9/30/2019,Hacking/IT Incident,Email,No
CHI Health Orthopedics Clinic -Lakeside,NE,Healthcare Provider,48000,9/30/2019,Hacking/IT Incident,"Desktop Computer, Electronic Medical Record, Network Server",No
Choctaw Nation Health Service Authority,OK,Healthcare Provider,500,9/27/2019,Hacking/IT Incident,Email,No
Beatitudes Campus ,AZ,Healthcare Provider,514,9/27/2019,Hacking/IT Incident,Email,No
Cancer Treatment Centers of America (CTCA) at Southeastern Regional Medical Center,GA,Healthcare Provider,3290,9/27/2019,Hacking/IT Incident,Email,No
Calibre CPA Group,MD,Business Associate,912,9/27/2019,Hacking/IT Incident,"Email, Network Server",Yes
Kaiser Permanente,CA,Healthcare Provider,990,9/26/2019,Hacking/IT Incident,Email,No
"Women's Care Florida, LLC",FL,Healthcare Provider,527310,9/25/2019,Hacking/IT Incident,Network Server,No
"Perfect Teeth Yale, P.C.",CO,Healthcare Provider,15000,9/19/2019,Loss,Other Portable Electronic Device,No
Chirobody,WA,Healthcare Provider,525,9/19/2019,Unauthorized Access/Disclosure,Desktop Computer,No
Premier Gastroenterology Specialists,OH,Healthcare Provider,1260,9/18/2019,Unauthorized Access/Disclosure,Paper/Films,No
Wood Ranch Medical,CA,Healthcare Provider,5835,9/18/2019,Hacking/IT Incident,Network Server,No
"Little Rock Plastic Surgery, P.A.",AR,Healthcare Provider,6300,9/18/2019,Unauthorized Access/Disclosure,Email,No
